MOL_IDX MOL_ID SMILES
1 CHEMBL205502 FC(F)(Cl)Oc1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1
2 CHEMBL2002202 O=C1NCc2ccc(-c3ccc(Cl)cc3)cc21
3 CHEMBL1970290 CCN(CC)CCNC(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)c1
4 CHEMBL523823 CCn1c2cc(Cl)c(O)cc2c(=O)c2c(=O)o[nH]c21
5 CHEMBL1985367 Cc1ccnc(Nc2cc(C)nc(-c3ccccc3)n2)c1
6 CHEMBL2000652 Nc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)c(F)c3)c12
7 CHEMBL504950 Cc1cc(C)c2c(n1)sc1c(N)ncnc12
8 CHEMBL2005449 Cc1cc(Nc2nc(Cl)cc(NCc3ccccc3)n2)n[nH]1
9 CHEMBL1998112 COc1ccc(-c2cc3nccn3c(Nc3ccccc3C(N)=O)n2)cc1OC
10 CHEMBL458333 COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c2cnc(Nc3ccc(OCCN4CCCC4)cc3)nc21
11 CHEMBL1973395 OC1CCN(c2ncnc3[nH]cc(-c4ccccc4)c23)CC1
12 CHEMBL1992242 Cc1cc(C)cc(NC(=O)Nc2ccc(-c3cccc4sncc34)cc2)c1
13 CHEMBL1979690 CN1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccc5[nH]ncc5c4)n3)cc2)CC1
14 CHEMBL1996510 O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCNCC2)nc2ccccc12
15 CHEMBL553 C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
16 CHEMBL2003456 O=c1[nH]c2cc(-c3ccccc3)cnc2[nH]1
17 CHEMBL363648 CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1
18 CHEMBL1965303 COc1cc(Nc2ncnc(Nc3cc[nH]n3)n2)cc(OC)c1OC
19 CHEMBL2000801 O=C(Nc1ccc(-c2cccc3sncc23)cc1)Nc1ccc(F)c(C(F)(F)F)c1
20 CHEMBL1970142 CNC(=O)C(C)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(C)cc5)cc4)csc23)cn1
21 CHEMBL1983348 CCCCN(CCC#N)C(=O)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1
22 CHEMBL1995592 Cc1cc(O)ccc1-n1c2cc(Cl)ccc2c(=O)c2c(N)nc(N)nc21
23 CHEMBL1984363 Cc1cc(NC(=O)Cc2ccc(-c3cccc4[nH]nc(N)c34)cc2)ccc1F
24 CHEMBL1993941 CCCn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1
25 CHEMBL1988608 CC(=O)Nc1cccc(CNc2c(Nc3ccc4[nH]ncc4c3)c(=O)c2=O)c1
26 CHEMBL1421 Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
27 CHEMBL1967720 CC(C)(C(N)=O)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1
