MOL_IDX MOL_ID SMILES Docking1 Docking
1 CHEMBL205502 FC(F)(Cl)Oc1ccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)cc1 -7.300 "[-7.3, -6.4, -6.3, -5.9, -5.7, -5.7, -5.1, -4.4, -4.3]"
2 CHEMBL2002202 O=C1NCc2ccc(-c3ccc(Cl)cc3)cc21 -8.600 "[-8.6, -8.0, -7.7, -6.2, -5.9]"
3 CHEMBL1970290 CCN(CC)CCNC(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)c1 -9.200 "[-9.2, -8.6, -7.9, -7.3, -7.2, -7.2, -7.1, -6.8, -6.6, -6.4]"
4 CHEMBL523823 CCn1c2cc(Cl)c(O)cc2c(=O)c2c(=O)o[nH]c21 -6.400 "[-6.4, -6.2, -6.0, -6.0, -5.4, -5.1, -5.0, -4.9, -4.3, -3.6]"
5 CHEMBL1985367 Cc1ccnc(Nc2cc(C)nc(-c3ccccc3)n2)c1 -8.100 "[-8.1, -7.0, -6.6, -5.3]"
6 CHEMBL2000652 Nc1n[nH]c2cccc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)c(F)c3)c12 -9.900 "[-9.9, -9.8, -9.3, -8.9]"
7 CHEMBL504950 Cc1cc(C)c2c(n1)sc1c(N)ncnc12 -6.700 "[-6.7, -6.4, -4.2]"
8 CHEMBL2005449 Cc1cc(Nc2nc(Cl)cc(NCc3ccccc3)n2)n[nH]1 -7.200 "[-7.2, -7.2, -7.2, -6.8, -6.4, -6.1, -5.4, -5.3, -5.2, -5.1]"
9 CHEMBL1998112 COc1ccc(-c2cc3nccn3c(Nc3ccccc3C(N)=O)n2)cc1OC -6.800 "[-6.8, -6.6, -6.6, -5.9, -5.6, -5.4, -5.4, -4.5, -4.3, -4.3]"
10 CHEMBL458333 COC(C)(C)CCn1nc(Nc2c(C)cccc2C)c2cnc(Nc3ccc(OCCN4CCCC4)cc3)nc21 -6.500 "[-6.5, -6.4, -5.9, -5.7, -5.1]"
11 CHEMBL1973395 OC1CCN(c2ncnc3[nH]cc(-c4ccccc4)c23)CC1 -7.100 "[-7.1, -6.0, -5.8, -5.4, -5.1, -4.5, -4.4, -4.2, -4.1]"
12 CHEMBL1992242 Cc1cc(C)cc(NC(=O)Nc2ccc(-c3cccc4sncc34)cc2)c1 -9.700 "[-9.7, -9.6, -9.6, -9.0, -8.7, -8.4, -8.1, -8.0]"
13 CHEMBL1979690 CN1CCN(c2ccc(Nc3ncc(Cl)c(Nc4ccc5[nH]ncc5c4)n3)cc2)CC1 -8.500 "[-8.5, -8.0, -7.7, -7.4, -7.2, -6.3, -6.0, -5.6]"
14 CHEMBL1996510 O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1nc(N2CCNCC2)nc2ccccc12 -8.100 "[-8.1, -7.6, -6.9, -6.7, -6.2, -6.2, -5.9, -5.6, -5.6]"
