MOL_IDX,MOL_ID,SMILES,activity
0,MOL0,O=C(O)c1cnn(-c2ccc(COCc3ccccc3)cn2)c1,True
1,MOL1,O=C(O)c1cnn(-c2ccc(COCc3ccc(Cl)cc3)cn2)c1,True
2,MOL2,N#Cc1ccccc1-c1ccc(COCc2ccc(-n3cc(C(=O)O)cn3)nc2)cc1,True
3,MOL3,O=C(O)c1cnn(-c2ccc(COCc3cccc(Cl)c3)cn2)c1,True
4,MOL4,COc1cccc(COCc2ccc(-n3cc(C(=O)O)cn3)nc2)c1,True
5,MOL5,O=C(O)c1cnn(-c2ccc(COCc3cccc(C(F)(F)F)c3)cn2)c1,True
6,MOL6,N#Cc1ccc(COCc2ccc(-n3cc(C(=O)O)cn3)nc2)cc1,True
7,MOL7,Cc1cccc(COCc2ccc(-n3cc(C(=O)O)cn3)nc2)c1,True
8,MOL8,O=C(O)CNC(=O)c1nc(Cl)c2ccccc2c1O,True
9,MOL9,CC(C)c1ccc(COCc2ccc(-n3cc(C(=O)O)cn3)nc2)cc1,True
10,MOL10,COc1cc(COCc2ccc(-n3cc(C(=O)O)cn3)nc2)cc(OC)c1,True
11,MOL11,O=C(O)c1cnn(-c2ccc(COCc3ccccc3Cl)cn2)c1,True
12,MOL12,COc1ccc(COCc2ccc(-n3cc(C(=O)O)cn3)nc2)cc1,True
13,MOL13,O=C(O)CNC(=O)c1ccc(-c2ccc(Cl)cc2)cn1,True
14,MOL14,O=C(O)c1cnn(-c2ccc(-c3ccc(Cl)cc3)cn2)c1,True
15,MOL15,O=C(O)c1cnn(-c2ccc(-c3ccco3)cn2)c1,True
16,MOL16,Cc1ccc(-c2ccc(C(=O)NCC(=O)O)nc2)cc1,True
17,MOL17,N#Cc1ccc(-c2ccc(C(=O)NCC(=O)O)nc2)cc1,True
18,MOL18,O=C(O)c1cnn(-c2ccc(-c3cccc(Cl)c3)cn2)c1,True
19,MOL19,O=C(O)c1cnn(-c2ccc(-c3ccccc3Cl)cn2)c1,True
20,MOL20,O=C(O)c1cnn(-c2ccc(-c3cccs3)cn2)c1,True
21,MOL21,O=C(O)c1cnn(-c2ccc(-c3cncnc3)cn2)c1,True
22,MOL22,COc1cccc(-c2ccc(-n3cc(C(=O)O)cn3)nc2)c1,True
23,MOL23,COc1ccc(-c2ccc(-n3cc(C(=O)O)cn3)nc2)cc1,True
24,MOL24,CC(C)c1ccc(-c2ccc(-n3cc(C(=O)O)cn3)nc2)cc1,True
25,MOL25,COc1ccccc1-c1ccc(-n2cc(C(=O)O)cn2)nc1,True
26,MOL26,O=C(O)CNC(=O)c1ccc2cccnc2c1O,True
27,MOL27,N#CCNC(=O)c1ccc2cccnc2c1O,True
28,MOL28,O=C(NCc1ccccc1)c1ccc2cccnc2c1O,True
29,MOL29,N#Cc1ccc(NC(=O)c2ccc3cccnc3c2O)cc1,True
30,MOL30,N#Cc1cccc(NC(=O)c2ccc3cccnc3c2O)c1,True
31,MOL31,COc1ccc(CNC(=O)c2ccc3cccnc3c2O)cc1,True
32,MOL32,O=C(NCc1ccc(Cl)cc1)c1ccc2cccnc2c1O,True
33,MOL33,COc1cc(CNC(=O)c2ccc3cccnc3c2O)cc(OC)c1,True
34,MOL34,O=C(Nc1cccnc1)c1ccc2cccnc2c1O,True
35,MOL35,COC(=O)c1ccc(NC(=O)c2ccc3cccnc3c2O)cc1,True
36,MOL36,O=C(OCc1ccccc1)c1ccc2cccnc2c1O,True
37,MOL37,O=C(Nc1ccc(C(F)(F)F)cc1)c1ccc2cccnc2c1O,True
38,MOL38,O=C(NCCc1ccc(Cl)cc1)c1ccc2cccnc2c1O,True
39,MOL39,O=C(NCc1cc(F)cc(F)c1)c1ccc2cccnc2c1,True
40,MOL40,O=C(Nc1ccccc1)c1ccc2cccnc2c1O,True
41,MOL41,COc1cc(NC(=O)c2ccc3cccnc3c2O)cc(OC)c1,True
42,MOL42,O=C(NCCc1ccccc1)c1ccc2cccnc2c1O,True
43,MOL43,COc1ccc(CCNC(=O)c2ccc3cccnc3c2O)cc1,True
44,MOL44,CCc1ccc(CCNC(=O)c2ccc3cccnc3c2O)cc1,True
45,MOL45,COc1ccc(-c2ccc3nc(C(=O)NCC(=O)O)cn3c2)cc1,True
46,MOL46,Cc1ccc(-c2ccc3nc(C(=O)NCC(=O)O)cn3c2)cc1,True
47,MOL47,CCc1ccc(-c2ccc3nc(C(=O)NCC(=O)O)cn3c2)cc1,True
48,MOL48,O=C(O)CNC(=O)c1cn2cc(-c3ccc4ccccc4c3)ccc2n1,True
49,MOL49,COc1cccc(-c2ccc3nc(C(=O)NCC(=O)O)cn3c2)c1,True
50,MOL50,O=C(O)CNC(=O)c1cn2cc(-c3cccc(F)c3)ccc2n1,True
51,MOL51,O=C(O)CNC(=O)c1cn2cc(-c3ccccc3)ccc2n1,True
52,MOL52,O=C(O)CNC(=O)c1cn2cc(-c3ccc(Cl)cc3)ccc2n1,True
53,MOL53,NC(=O)c1ccc(-c2ccc3nc(C(=O)NCC(=O)O)cn3c2)cc1,True
54,MOL54,O=C(O)CNC(=O)c1cn2cc(-c3ccc(F)cc3)ccc2n1,True
55,MOL55,O=C(O)CNC(=O)c1cn2cc(NC(=O)c3cccc(Cl)c3)ccc2n1,True
56,MOL56,O=C(O)CNC(=O)c1cn2cc(-c3cccc(Cl)c3)ccc2n1,True
57,MOL57,O=C(O)Cc1csc(=NC(=O)CS(=O)(=O)c2cccc(Cl)c2)n1O,True
58,MOL58,O=C(O)Cc1csc(=NC(=O)CS(=O)(=O)c2ccc(Cl)cc2)n1O,True
59,MOL59,O=C(O)Cc1csc(=NC(=O)CS(=O)(=O)c2ccccc2)n1O,True
60,MOL60,CC(C)(C)c1ccc(CS(=O)(=O)CC(=O)N=c2scc(CC(=O)O)n2O)cc1,True
61,MOL61,O=C(O)CCc1csc(=NC(=O)CS(=O)(=O)c2ccccc2)n1O,True
62,MOL62,O=C(O)Cc1csc(=NC(=O)CS(=O)(=O)c2ccc(-c3ccccc3)cc2)n1O,True
63,MOL63,O=C(O)Cc1csc(=NC(=O)CNc2ccccc2)n1O,True
64,MOL64,CC(C)(C)c1ccc(S(=O)(=O)CC(=O)N=c2scc(CC(=O)O)n2O)cc1,True
65,MOL65,O=C(O)Cc1csc(=NC(=O)CS(=O)(=O)c2ccc3ccccc3c2)n1O,True
66,MOL66,Cc1sc(=NC(=O)CS(=O)(=O)c2ccccc2)n(O)c1CC(=O)O,True
67,MOL67,O=C(O)Cc1csc(=NC(=O)COc2ccccc2)n1O,True
68,MOL68,CC(C(=O)O)c1csc(=NC(=O)CS(=O)(=O)c2ccccc2)n1O,True
69,MOL69,O=C(O)Cc1csc(=NC(=O)CS(=O)(=O)c2ccccc2Cl)n1O,True
70,MOL70,O=C(O)Cc1csc(=NC(=O)CSc2ccccc2)n1O,True
71,MOL71,O=C(O)Cc1csc(=NC(=O)CS(=O)(=O)Cc2ccccc2)n1O,True
72,MOL72,Cc1ccc(S(=O)(=O)CC(=O)N=c2scc(CC(=O)O)n2O)cc1,True
73,MOL73,O=C(O)CNC(=O)c1nccc2[nH]cnc12,True
